agri_0_1083.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_82.jpeg: crop=0, weed=1, weed_coverage=66.1%
agri_0_8269.jpeg: crop=0, weed=2, weed_coverage=48.2%
agri_0_8583.jpeg: crop=0, weed=1, weed_coverage=44.9%
agri_0_864.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_8663.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_8671.jpeg: crop=0, weed=1, weed_coverage=59.3%
agri_0_8698.jpeg: crop=0, weed=3, weed_coverage=24.5%
agri_0_8788.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_8848.jpeg: crop=0, weed=1, weed_coverage=51.1%
agri_0_8866.jpeg: crop=0, weed=1, weed_coverage=66.4%
agri_0_8905.jpeg: crop=0, weed=2, weed_coverage=14.6%
agri_0_8982.jpeg: crop=0, weed=1, weed_coverage=15.5%
agri_0_9055.jpeg: crop=0, weed=1, weed_coverage=20.4%
agri_0_9172.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_9252.jpeg: crop=0, weed=2, weed_coverage=14.0%
agri_0_9260.jpeg: crop=0, weed=2, weed_coverage=83.8%
agri_0_9299.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_934.jpeg: crop=0, weed=1, weed_coverage=30.7%
agri_0_9406.jpeg: crop=0, weed=1, weed_coverage=41.2%
agri_0_9458.jpeg: crop=0, weed=1, weed_coverage=32.6%
agri_0_9474.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_9489.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_9714.jpeg: crop=3, weed=0, weed_coverage=0.0%
agri_0_9772.jpeg: crop=0, weed=1, weed_coverage=61.1%
agri_0_9773.jpeg: crop=0, weed=1, weed_coverage=44.4%
agri_0_9804.jpeg: crop=4, weed=0, weed_coverage=0.0%
agri_0_9861.jpeg: crop=0, weed=1, weed_coverage=18.6%
agri_0_9874.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_9891.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_9892.jpeg: crop=0, weed=2, weed_coverage=35.5%
agri_0_991.jpeg: crop=0, weed=1, weed_coverage=47.0%
agri_0_9916.jpeg: crop=0, weed=1, weed_coverage=24.9%
agri_0_9927.jpeg: crop=0, weed=1, weed_coverage=94.8%
agri_0_9952.jpeg: crop=0, weed=3, weed_coverage=76.1%
agri_0_9971.jpeg: crop=0, weed=4, weed_coverage=49.2%

=== FarmEye-AI Summary ===
Images processed: 131
Total crop detections: 219
Total weed detections: 118
Average weed coverage across images: 27.2%
